0,1,phone,cluster_id,word
-24.863626,-0.5073203,,4,
-20.522892,3.6321592,,4,
-29.014984,-1.8972836,,4,
-33.7865,-2.8572602,,4,
-31.161762,-3.3499434,,4,
-32.9031,-2.4468775,,4,
-34.508022,-1.0145984,,4,
-6.575848,1.0578912,,4,
-5.4206285,1.4765625,,8,
-2.3787737,5.28734,,1,
11.03453,2.946948,,14,
14.849115,1.4106331,n,7,knee
16.392193,0.9821224,n,7,knee
16.742514,0.63694084,n,7,knee
24.662317,0.65756994,n,9,knee
25.871529,1.2121933,n,6,knee
26.106686,1.0900922,n,6,knee
29.619291,1.8639148,,6,knee
30.536304,2.430027,i,0,knee
30.170078,3.95781,i,0,knee
30.280462,3.3325186,i,0,knee
30.079004,2.8420403,i,0,knee
29.532152,3.433498,i,0,knee
29.39447,2.5496793,i,6,knee
28.901712,3.0306296,i,6,knee
28.541922,2.3701541,i,6,knee
27.297977,1.50764,,6,
25.255323,-0.35976082,,6,
24.689325,-0.8618924,,9,
8.210029,4.2998185,,5,
7.289406,3.9935606,,14,
6.791854,3.8067925,,14,
6.084096,3.7149022,,14,
-1.1467016,4.5398307,,1,
-1.3550621,3.0917926,,1,
-7.551171,-2.6775904,,8,
-8.272568,-2.1323926,,4,
-11.6707535,-1.0398648,,4,
-20.605043,0.87960166,,4,
-30.69301,2.5923595,,4,
-35.01696,-1.1364123,,4,
-31.209719,-2.1762002,,4,
-31.55581,-1.2177935,,4,
-24.123613,-0.42246678,,4,
-23.37748,1.5372126,,4,
-27.509844,3.7411633,,4,
-28.826906,1.3634706,,4,
-29.155533,-0.38569418,,4,
-28.66798,3.1884108,,4,
-27.530882,0.8466577,,4,
-28.002937,0.24723338,,4,
-26.82743,1.30738,,4,
-29.204126,1.799591,,4,
-27.73197,2.1888046,,4,
-20.569214,3.7089796,,4,
-19.405228,3.4574687,,4,
-24.917038,0.08133693,,4,
-3.7436936,4.9852796,,1,
10.775133,2.8727157,,14,
15.309373,0.77320075,n,7,gnaw
17.514292,0.40201044,n,7,gnaw
18.428114,0.20260884,n,9,gnaw
36.77259,-3.105037,,11,gnaw
38.519997,-3.2289124,a,11,gnaw
39.28143,-3.2876089,a,3,gnaw
39.97442,-2.904885,a,3,gnaw
39.320297,-2.4743361,a,3,gnaw
39.92812,-2.064739,a,3,gnaw
40.27969,-1.7018235,a,3,gnaw
39.034664,-1.9219251,a,3,gnaw
39.66056,-1.5178518,a,3,gnaw
39.04703,-1.6020938,a,3,gnaw
38.134388,-2.3855486,a,3,gnaw
35.48766,-2.8814828,,13,
21.431305,2.0932531,,13,
15.665364,-2.0118732,,2,
14.295357,-2.1636324,,2,
13.16797,-2.3520799,,5,
12.25706,-2.5323596,,5,
11.26485,-2.684344,,5,
9.679671,-2.7169476,,5,
8.582283,-2.8026478,,14,
4.229109,-1.5965213,,14,
3.494414,-1.5272797,,8,
2.3884792,-1.4614208,,8,
1.3245368,-1.2815244,,8,
-1.146445,-1.5820723,,8,
-6.497284,-0.5477866,,4,
-9.25461,-0.54575366,,4,
-12.259891,2.3754961,,4,
-16.758492,-0.49532714,,4,
-14.946318,-3.1159985,,4,
9.880169,0.042900555,,5,
10.315494,0.17157348,,5,
8.196506,0.30192918,,14,
-0.44935665,6.0600324,,1,
-0.4961697,6.321751,,1,
-14.387974,-5.6870317,,1,
-15.052771,-5.2450485,,4,
-15.062736,-4.204301,,4,
-19.156303,0.38168043,,4,
-17.556026,0.97523504,,4,
-17.021603,-1.9059165,,4,
-17.876535,0.3750971,,4,
-18.915663,1.1492347,,4,
-22.727873,-1.9143857,,4,
-18.67368,-3.4486408,,4,
-18.741415,-3.440559,,4,
-17.481546,-2.8923397,,4,
-15.693904,-2.9588141,,4,
11.770429,-4.3752894,,5,
15.510896,-4.339652,,2,
14.763438,-4.2652493,,2,
6.6623254,1.7680166,,14,
-3.0647013,5.8504505,,1,
4.006128,-0.1111651,,8,
12.864229,-4.2160716,,5,
13.184641,-4.2260013,,5,
6.5333643,1.4624372,,14,
-3.9125693,5.8417354,,1,
-12.363573,-4.278534,,1,
-15.491177,-3.5445278,,4,
-11.932139,-3.729145,,1,
-1.8358703,1.7028277,,1,
-2.6012828,0.4760671,,8,
-3.5661051,-0.51644653,,8,
-3.6223469,0.25221467,,8,
-3.4561179,0.20004508,,8,
-4.0260863,-0.39801773,,8,
6.430423,-0.57392204,,14,
6.64327,-0.47071916,,14,
0.3374085,1.2617108,,8,
-0.65408486,0.98376477,,8,
